n,theta_idx,method,energy,wall_seconds
8,6,shadow,-5.625,0.6905550956726074
8,7,noiseless,-6.814378446879135,0.00036454200744628906
8,7,noisy_factored,-6.294460807303994,0.025851011276245117
8,7,surrogate,-13.676349578232685,0.12498974800109863
8,7,shadow,-5.865,1.3158090114593506
8,8,noiseless,-6.9873707057689085,0.0003590583801269531
8,8,noisy_factored,-6.460497348648789,0.0257720947265625
8,8,surrogate,-14.346587041257855,0.13013315200805664
8,8,shadow,-6.6,1.3219561576843262
8,9,noiseless,-6.718416903127423,0.0008893013000488281
8,9,noisy_factored,-6.211857467413343,0.039481163024902344
8,9,surrogate,-13.615519723548235,0.4139833450317383
8,9,shadow,-5.677499999999999,1.48191499710083
8,10,noiseless,-7.056174555330078,0.0004229545593261719
8,10,noisy_factored,-6.526114476403874,0.03257131576538086
8,10,surrogate,-14.364656712474886,0.13981914520263672
8,10,shadow,-6.5175,1.354367733001709
8,11,noiseless,-6.935117995084464,0.000904083251953125
8,11,noisy_factored,-6.412717363885357,0.038460731506347656
8,11,surrogate,-13.870856077067337,0.4236421585083008
8,11,shadow,-6.554999999999999,1.5510141849517822
8,12,noiseless,-6.9655015096003785,0.0003170967102050781
8,12,noisy_factored,-6.4398921840192465,0.02085256576538086
8,12,surrogate,-14.060098771745972,0.169386625289917
8,12,shadow,-6.36,0.8934385776519775
8,13,noiseless,-6.925290098091485,0.0003509521484375
8,13,noisy_factored,-6.402662686097011,0.02572321891784668
8,13,surrogate,-14.29281314437196,0.12605834007263184
8,13,shadow,-6.885000000000001,1.2234241962432861
8,14,noiseless,-6.5454932564192765,0.0003528594970703125
8,14,noisy_factored,-6.056454417081663,0.02568984031677246
8,14,surrogate,-13.159878550160398,0.12510156631469727
8,14,shadow,-5.962500000000001,1.2457706928253174
8,15,noiseless,-6.967526854938787,0.0003426074981689453
8,15,noisy_factored,-6.442323322870332,0.02267932891845703
8,15,surrogate,-14.313949379998858,0.11842823028564453
8,15,shadow,-7.207500000000001,1.3091018199920654
8,16,noiseless,-6.802372503099373,0.0004150867462158203
8,16,noisy_factored,-6.2876558597525865,0.03412437438964844
8,16,surrogate,-14.256570912883427,0.17590951919555664
8,16,shadow,-6.825,1.0989201068878174
8,17,noiseless,-6.962815138172679,0.0009715557098388672
8,17,noisy_factored,-6.43783035703946,0.042325735092163086
8,17,surrogate,-14.273113396263867,0.4217703342437744
8,17,shadow,-6.06,1.3257358074188232
8,18,noiseless,-6.585612682562338,0.0009138584136962891
8,18,noisy_factored,-6.086388885218394,0.04018902778625488
8,18,surrogate,-14.079126455099052,0.42424464225769043
8,18,shadow,-5.430000000000001,1.5025246143341064
8,19,noiseless,-6.103212740830137,0.0003542900085449219
8,19,noisy_factored,-5.636470356768798,0.027436494827270508
8,19,surrogate,-13.308271414100306,0.12429618835449219
8,19,shadow,-4.86,1.2547383308410645
8,20,noiseless,-6.983023655632066,0.00037860870361328125
8,20,noisy_factored,-6.45414879064966,0.025356531143188477
8,20,surrogate,-14.65329571234333,0.1256704330444336
8,20,shadow,-5.25,1.4441585540771484
8,21,noiseless,-6.666884878560738,0.0004253387451171875
8,21,noisy_factored,-6.163158880180313,0.03522515296936035
8,21,surrogate,-12.84743786164685,0.18131303787231445
8,21,shadow,-6.1274999999999995,1.4672276973724365
8,22,noiseless,-6.9191817686520585,0.0004165172576904297
8,22,noisy_factored,-6.401629986593035,0.03557276725769043
8,22,surrogate,-13.861413544616163,0.18358230590820312
8,22,shadow,-7.342500000000001,1.3680119514465332
