n,t_count,instance,n_query,mae,wall_seconds,n_nonzero
8,6,1,4000,0.08145200964732613,1.5825996398925781,4029
8,6,1,8000,0.04308095639739638,3.113548517227173,1643
8,6,2,1000,0.2748605074128557,0.7624096870422363,6554
8,6,2,2000,0.12165620181075387,1.5027790069580078,2853
8,6,2,4000,0.03533763241873338,1.663008451461792,1577
8,6,2,8000,0.07646924423150851,3.049644708633423,2868
8,8,0,1000,0.18276221001823323,0.3985309600830078,6333
8,8,0,2000,0.03202086758012575,0.7734880447387695,2349
8,8,0,4000,0.09044945008108578,1.522127628326416,2185
8,8,0,8000,0.05622695775534643,2.9829490184783936,2696
8,8,1,1000,0.24421565157034314,0.42183351516723633,5894
8,8,1,2000,0.17246993037917688,0.9558682441711426,6082
8,8,1,4000,0.04584145208069031,1.661252498626709,2105
8,8,1,8000,0.12755914434365156,4.296974182128906,1928
8,8,2,1000,0.1727003015835789,0.4056816101074219,4955
8,8,2,2000,0.1001748574471355,0.7792932987213135,3890
8,8,2,4000,0.06247422502181534,1.526876449584961,2978
8,8,2,8000,0.04903284854729827,5.565194845199585,1697
8,10,0,1000,0.058454365573133625,0.39390039443969727,3312
8,10,0,2000,0.4959543614220078,1.4267370700836182,9778
8,10,0,4000,0.07990648046953212,1.6954021453857422,4302
8,10,0,8000,0.059116526120131796,4.217651128768921,1960
8,10,1,1000,0.24185571194313482,0.5121877193450928,7628
8,10,1,2000,0.09575091132336076,0.8011846542358398,5224
8,10,1,4000,0.08753605546203916,1.4929711818695068,4190
8,10,1,8000,0.06753534158626033,3.0435428619384766,1617
8,10,2,1000,0.20164942126482632,0.4075582027435303,6833
8,10,2,2000,0.11248703555858648,0.7627029418945312,3216
8,10,2,4000,0.07562721839668188,2.8744802474975586,2201
8,10,2,8000,0.047633216996206075,2.999779462814331,1845
8,12,0,1000,0.060039928110561226,0.39391493797302246,3545
8,12,0,2000,0.24132379602155093,0.8034205436706543,4844
8,12,0,4000,0.025464922966651492,1.5260252952575684,2050
8,12,0,8000,0.03802791347668501,3.0584330558776855,1626
8,12,1,1000,0.28737442782167466,0.5939426422119141,5466
8,12,1,2000,0.046922254946971706,0.7925879955291748,3096
8,12,1,4000,0.07514002606183157,1.5515451431274414,2844
