trial,gauss_deviation,shadow_deviation
359,0.078183,-0.187052
360,0.061867,0.152792
361,0.009171,0.158231
362,-0.139566,0.023886
363,-0.015445,-0.082480
364,-0.113295,-0.041043
365,-0.026370,0.198770
366,0.122083,-0.058145
367,-0.170330,0.022989
368,-0.105290,-0.035605
369,-0.231997,0.169950
370,-0.026167,0.134738
371,0.021115,0.158231
372,0.088735,0.004100
373,0.131924,0.041043
374,-0.044174,-0.017606
375,0.077482,0.005832
376,0.117798,-0.105020
377,-0.145159,0.027537
378,-0.113221,0.087918
379,0.007309,0.015819
380,0.040749,0.076200
381,-0.048898,0.031056
382,0.152601,-0.046427
383,-0.000318,0.077931
384,-0.214880,-0.144725
385,0.024819,-0.171681
386,0.294859,-0.164511
387,0.029452,-0.074412
388,-0.030942,0.027537
389,-0.002399,0.077931
390,0.133954,0.042775
391,-0.200708,0.023886
392,0.241363,-0.086131
393,0.104330,-0.187052
394,-0.039684,0.064425
395,0.077595,-0.433145
396,0.136510,-0.144725
397,-0.034239,0.000448
398,0.012369,0.087918
399,0.025979,-0.007619
400,0.166190,0.105020
401,-0.023235,0.175333
402,0.150737,-0.041043
403,-0.108484,-0.134738
404,0.173153,0.123019
405,0.061394,-0.062694
406,0.162155,0.144725
407,-0.005189,0.086131
408,0.093475,0.058145
409,-0.062243,0.017606
410,-0.107102,0.183400
411,0.009468,0.040988
412,0.071673,-0.076144
413,-0.059239,0.158175
414,-0.018440,0.109569
415,-0.040464,-0.105020
416,-0.012133,0.105917
417,-0.121764,0.062694
418,0.068368,0.086131
419,0.025920,0.040988
420,0.037717,-0.133006
421,0.018589,-0.082480
422,-0.066151,-0.074412
423,0.027085,0.011270
424,-0.005099,0.113088
425,0.112890,0.129355
426,-0.047250,-0.034708
427,-0.069092,0.077931
428,-0.067084,0.087863
429,-0.066573,-0.029269
430,0.093772,-0.029325
431,-0.051434,-0.005832
432,0.087798,-0.240262
433,0.008141,0.164511
434,-0.056398,-0.280802
435,-0.021170,-0.011270
436,0.075531,-0.087863
437,0.065641,0.052707
438,0.155778,-0.034708
439,-0.155118,-0.064481
440,-0.093764,0.169894
441,0.136766,0.156444
442,-0.285231,-0.039256
443,0.012830,0.054494
444,0.069956,-0.077931
445,0.100217,-0.047323
446,0.104477,0.005832
447,-0.014527,0.052762
448,-0.135150,0.105917
449,0.000173,0.066213
450,0.022380,0.031056
451,0.103677,0.029269
452,-0.064277,-0.287082
453,0.080893,-0.005887
454,0.156230,0.031056
455,-0.160113,0.058145
456,-0.040919,0.027537
457,-0.017186,-0.074412
458,-0.024707,-0.121287
459,-0.081194,-0.035605
460,-0.064387,0.052762
461,0.057983,0.004100
462,-0.061780,-0.041043
463,-0.041991,-0.034708
464,0.134635,-0.005832
465,-0.129250,-0.087918
466,-0.096729,-0.005887
467,0.020370,0.011270
468,-0.116770,0.031056
469,-0.017585,0.054494
470,-0.025154,-0.198770
471,-0.106078,0.064425
472,-0.070381,0.134738
473,-0.124937,0.066213
474,-0.061563,0.205050
475,0.067417,0.059042
476,0.033805,0.005887
477,-0.025278,0.099637
478,-0.101255,-0.066213
479,-0.155343,-0.004100
480,0.036777,-0.111300
481,0.135416,0.042775
482,-0.046408,0.031056
483,-0.031477,0.111356
484,-0.061762,-0.046427
485,0.045939,0.203319
486,-0.239026,-0.000448
487,0.153615,0.066213
488,0.166779,0.069864
489,-0.025047,-0.123019
490,-0.085008,0.047323
491,0.031782,-0.041043
492,-0.040553,0.019338
493,0.007363,0.116739
494,-0.009642,0.050975
495,-0.093631,-0.041043
496,-0.022151,-0.099582
497,-0.030137,-0.086131
498,0.122074,0.113088
499,0.146336,-0.129355
500,0.064568,0.012167
501,0.016041,0.064425
502,-0.056620,0.222208
503,-0.030946,-0.105020
504,-0.008979,0.116739
505,-0.187406,0.076144
506,0.062982,-0.039256
507,-0.127907,-0.123019
508,0.103064,0.004100
509,-0.024612,0.087918
510,0.000976,-0.027537
511,0.014226,0.074412
512,-0.104738,-0.094198
513,-0.138549,0.017606
514,0.028626,-0.111300
515,0.016977,-0.089650
516,-0.039092,0.109569
517,0.031474,0.029269
518,0.199898,-0.146457
519,0.122745,-0.223105
520,-0.076658,0.148244
521,-0.214183,0.000448
522,0.082219,0.116739
523,-0.125310,-0.111300
524,0.071023,0.050975
525,0.024084,0.175333
526,0.073302,-0.124806
527,0.005000,0.206838
528,0.075107,-0.086131
529,-0.074056,-0.052762
530,-0.019934,0.128458
531,0.103506,0.069864
532,-0.049430,-0.099637
533,-0.056685,-0.050975
534,-0.063313,0.128458
535,0.003238,-0.005887
536,-0.032740,-0.087863
537,0.034370,-0.210489
538,0.052710,0.081583
539,0.009093,0.081583
540,-0.035211,-0.123019
541,0.352471,0.005887
542,0.031983,-0.133006
543,0.020002,-0.004100
544,-0.123743,0.245645
545,0.006803,-0.041043
546,-0.016146,0.005887
547,0.262843,0.007619
548,0.033236,-0.034708
549,0.000307,0.069864
550,-0.013279,0.012167
551,0.108189,-0.012167
552,0.049817,-0.052707
553,-0.104246,0.019338
554,0.022778,0.029325
555,0.054485,-0.017606
556,0.040020,-0.052707
557,-0.125567,0.041043
558,-0.034545,-0.069864
559,0.048901,0.005887
560,-0.044200,-0.023886
561,-0.054081,0.124806
562,0.027726,0.205050
563,-0.095391,-0.159963
564,-0.042048,-0.022989
565,-0.005504,-0.105917
566,-0.026560,-0.039256
567,0.121006,-0.069864
568,-0.166519,-0.298856
569,0.145579,0.164511
570,0.182276,-0.176230
571,-0.038842,-0.023886
572,0.044017,-0.035605
573,0.001525,-0.124806
574,0.038601,0.034708
575,0.220284,-0.039256
576,0.099506,0.029325
577,0.139104,0.042775
578,0.067269,0.000448
579,0.018242,-0.042775
580,0.076260,-0.041043
581,0.018964,-0.042775
582,0.017835,0.093302
583,-0.034567,-0.029269
584,0.099999,-0.133006
585,-0.106017,0.099637
586,0.255144,-0.005832
587,0.026773,0.086131
588,-0.142703,-0.105020
589,-0.002674,-0.042775
590,0.014258,-0.017550
591,-0.050860,0.042775
592,0.074651,0.129355
593,-0.065212,-0.151895
594,0.050608,-0.066213
595,-0.051107,-0.017550
596,-0.165155,0.041043
597,-0.251274,-0.054494
598,-0.065904,-0.019338
599,0.110131,-0.058145
600,-0.038199,-0.058145
601,-0.077457,-0.058145
602,-0.052348,-0.012167
603,-0.030719,0.116739
604,0.152302,-0.093302
605,-0.145446,-0.017550
606,0.096250,0.054494
607,-0.024800,-0.111300
608,-0.175508,0.027537
609,0.018817,-0.005887
610,0.086387,0.066213
611,0.134760,-0.111300
612,-0.132759,-0.054494
613,-0.031704,-0.023886
614,0.098152,0.058145
615,-0.156202,0.074412
616,0.103749,-0.046427
617,0.143573,0.181613
618,-0.047619,0.066213
619,-0.031754,-0.050975
620,0.187237,0.064481
621,-0.017678,0.059042
622,-0.055248,0.054494
623,0.139544,-0.089650
624,0.089300,-0.087863
625,0.001653,0.105917
626,-0.085447,0.050975
627,0.014975,0.031056
628,0.187588,0.181613
629,-0.078576,0.040988
630,-0.035956,-0.151895
631,0.176562,-0.198770
632,-0.044345,0.233927
633,-0.015907,-0.019338
634,0.047626,-0.064481
635,-0.279299,-0.099582
636,0.011478,-0.099637
637,0.078987,-0.031056
638,0.092790,-0.005832
639,-0.068726,0.086131
640,0.110880,0.156444
641,-0.081546,-0.019338
642,-0.033530,-0.094198
643,-0.023167,0.101369
644,0.036462,0.181613
645,-0.050846,-0.113088
646,0.142495,0.111356
647,0.070590,-0.133006
648,-0.123813,-0.029269
649,-0.003933,-0.076200
650,-0.038771,-0.187052
651,0.254985,-0.034708
652,-0.130246,-0.005832
653,-0.081375,0.181613
654,0.046619,0.087918
655,-0.077747,-0.087863
656,-0.043094,0.105917
657,-0.013456,0.005887
658,-0.033404,0.066213
659,0.004286,-0.031056
660,-0.079843,0.011270
661,-0.011180,-0.111356
662,-0.058463,0.111300
663,-0.151080,-0.076144
664,-0.079330,0.099637
665,-0.017833,0.105020
666,-0.039983,0.052762
667,0.013711,0.062694
668,0.089024,-0.000448
669,-0.064180,-0.087918
670,-0.046862,0.058145
671,-0.072843,-0.017550
672,0.099232,0.198770
673,-0.036274,0.159963
674,0.120905,0.039256
675,-0.085141,-0.076200
676,-0.104244,0.159963
677,-0.060509,-0.050975
678,0.047730,0.140177
679,-0.029390,-0.019338
680,-0.020119,0.064481
681,-0.024328,0.042775
682,0.132604,0.050975
683,-0.057609,-0.101369
684,0.065842,0.277150
685,0.000261,-0.076200
686,-0.046874,-0.163614
687,-0.001387,-0.111356
688,-0.267068,0.087918
689,-0.062350,-0.168162
690,-0.021502,-0.111356
691,-0.116649,-0.005832
692,0.039315,0.039256
693,-0.094695,-0.029269
694,0.078937,0.086131
695,0.115477,0.101369
696,-0.057022,-0.134738
697,0.123365,0.052707
698,-0.112175,0.029269
699,-0.084639,0.011270
700,0.006137,0.023886
701,0.070129,0.081583
702,0.054889,-0.005887
703,0.062376,-0.031056
704,0.035898,0.050975
705,0.007979,-0.017606
706,-0.039062,-0.029325
707,-0.158789,0.029269
708,-0.078743,0.011270
709,0.040871,-0.069864
710,-0.034869,0.094198
711,-0.050380,-0.005887
712,-0.029596,-0.116739
713,0.077453,-0.064425
714,0.126045,0.027537
715,0.005882,-0.069864
716,-0.050653,0.187052
717,0.009576,0.074412
718,-0.035360,-0.064425
719,-0.053874,-0.029325
720,0.275894,-0.097850
721,-0.216152,0.034708
722,-0.011052,-0.087918
723,-0.258589,0.041043
724,0.194018,0.027537
725,-0.037190,-0.109569
726,-0.043852,0.042775
727,-0.137307,-0.205050
